no,ranking,bookname,authors,publisher,publication_year,isbn13,addition_symbol,vol,class_no,class_nm,loan_count,bookImageURL,bookDtlUrl
185,183,악의 :히가시노 게이고 장편소설 ,히가시노 게이고 [지음] ;양윤옥 옮김,현대문학,2008,9788972754190,03830,,833.6,문학 > 일본문학 > 소설,84,http://image.aladin.co.kr/product/236/71/cover/8972754196_1.jpg,https://data4library.kr/bookV?seq=2220808
186,186,내일을 위한 내 일 :이다혜 인터뷰집 ,지은이: 이다혜,창비,2021,9788936459413,03190,,337.6,"사회과학 > 사회학, 사회문제 > 여성문제",83,https://image.aladin.co.kr/product/25967/85/cover/8936459414_1.jpg,https://data4library.kr/bookV?seq=5850820
187,186,돈으로 살 수 없는 것들 :무엇이 가치를 결정하는가 ,지은이: 마이클 샌델 ;옮긴이: 안기순,미래엔,2012,9788937833663,03330,,193,"철학 > 윤리학, 도덕철학 > 국가 및 정치윤리",83,http://image.aladin.co.kr/product/1649/71/cover/8937833662_1.jpg,https://data4library.kr/bookV?seq=1835820
188,186,아침에는 죽음을 생각하는 것이 좋다 ,지은이: 김영민,어크로스,2018,9791160560640,03100,,818,문학 > 한국문학 > 르포르타주 및 기타,83,https://image.aladin.co.kr/product/17552/27/cover/s622534403_1.jpg,https://data4library.kr/bookV?seq=5247570
189,189,"나는 풍요로웠고, 지구는 달라졌다 ",지은이: 호프 자런 ;옮긴이: 김은령,김영사,2020,9788934990307,03450,,539.9,"기술과학 > 공학, 공업일반 > 위생, 도시, 환경공학",82,https://image.aladin.co.kr/product/25039/64/cover/8934990309_1.jpg,https://data4library.kr/bookV?seq=5747866
190,189,두 번째 엔딩 ,"지은이: 김려령,백온유",창비,2021,9788936434458,03810,,813.7,문학 > 한국문학 > 소설,82,https://image.aladin.co.kr/product/26367/8/cover/8936434454_1.jpg,https://data4library.kr/bookV?seq=5860496
191,189,방구석 미술관,조원재 지음,백도씨,2020,9788968332845,03600,2,650.4,"예술 > 회화, 도화 > 회화, 도화",82,https://image.aladin.co.kr/product/25566/91/cover/8968332843_2.jpg,https://data4library.kr/bookV?seq=5799196
192,189,트라우마 사전 :작가를 위한 캐릭터 창조 가이드 ,"안젤라 애커만,임상훈 옮김",윌북,2020,9791155812662,03600,,802,"문학 > 문학 > 문장작법, 수사학",82,https://image.aladin.co.kr/product/23823/66/cover/k452639288_1.jpg,https://data4library.kr/bookV?seq=5656170
193,193,"박막례, 이대로 죽을 순 없다 :독보적 유튜버 박막례와 천재 PD 손녀 김유라의 말도 안 되게 뒤집힌 신나는 인생! ","박막례,김유라 지음",위즈덤하우스 미디어그룹,2019,9791190065672,03810,,326.7904,사회과학 > 경제학 > 공익사업,81,https://image.aladin.co.kr/product/19237/22/cover/k542635103_1.jpg,https://data4library.kr/bookV?seq=5411694
194,194,"지리의 힘 :지리는 어떻게 개인의 운명을, 세계사를, 세계 경제를 좌우하는가 ",지은이: 팀 마샬 ;옮긴이: 김미선,사이,2016,9788993178692,03300,,340.98,사회과학 > 정치학 > 정치학,80,http://image.aladin.co.kr/product/8864/8/cover/8993178690_1.jpg,https://data4library.kr/bookV?seq=3265201
195,194,오베라는 남자 :프레드릭 배크만 장편소설 ,지은이: 프레드릭 배크만 ;옮긴이: 최민우,다산북스,2015,9791130605210,03850,,859.7,문학 > 독일문학 > 기타 게르만 문학,80,https://bookthumb-phinf.pstatic.net/cover/090/537/09053751.jpg?type=m1&udate=20180717,https://data4library.kr/bookV?seq=2396935
196,194,열두 발자국 ,지은이: 정재승,어크로스,2018,9791160560510,03400,,404,"자연과학 > 자연과학 > 강연집, 수필집, 연설문집",80,https://image.aladin.co.kr/product/15072/28/cover/k072533160_1.jpg,https://data4library.kr/bookV?seq=3767852
197,197,죽음 :베르나르 베르베르 장편소설 ,지은이: 베르나르 베르베르 ;옮긴이: 전미연,열린책들,2019,9788932919676,04860,1,863,문학 > 프랑스문학 > 소설,79,https://image.aladin.co.kr/product/19183/62/cover/8932919674_1.jpg,https://data4library.kr/bookV?seq=5408151
198,197,심판 ,베르나르 베르베르 지음 ;전미연 옮김,열린책들,2020,9788932920405,03860,,862,문학 > 프랑스문학 > 희곡,79,https://image.aladin.co.kr/product/24919/70/cover/8932920400_1.jpg,https://data4library.kr/bookV?seq=5738734
199,197,어떤 죽음이 삶에게 말했다 :생의 남은 시간이 우리에게 들려주는 것 ,김범석 지음,흐름출판,2021,9788965964230,03810,,814.7,문학 > 한국문학 > 수필,79,https://image.aladin.co.kr/product/26120/62/cover/8965964237_1.jpg,https://data4library.kr/bookV?seq=5850509
200,197,지적 대화를 위한 넓고 얕은 지식,채사장 지음,한빛비즈,2014,9788994120966,13100,1,001.3,"총류 > 총류 > 지식, 학문 일반",79,https://bookthumb-phinf.pstatic.net/cover/084/030/08403038.jpg?type=m1&udate=20171223,https://data4library.kr/bookV?seq=2396928
